Python,R,Data Science,Other skills,Degree,Year,Decision
1,0,3,3,B.Tech,2019,0
2,1,2,2,-,2020,0
2,0,0,0,B.Tech,2018,0
2,0,2,3,M.Tech,2021,0
2,0,0,1,B.Tech,2018,0
2,2,0,1,B.Tech,2021,0
0,0,1,2,B.Tech,2021,0
2,2,0,2,B.Tech,2016,0
2,0,1,2,B.Tech,2022,0
0,0,0,0,-,2019,0
1,0,1,1,-,2021,0
1,2,2,2,M.Tech,2019,0
0,0,0,1,B.Tech,2018,0
0,0,0,0,B.Tech,2018,0
3,0,3,2,-,2020,0
0,0,0,0,B.Tech,2019,0
2,0,1,2,-,2020,0
0,0,0,0,-,2014,0
2,0,2,3,-,2020,0
1,0,0,1,-,2017,0
1,1,1,1,B.Tech,2019,0
2,0,0,0,B.Tech,2020,0
3,0,0,1,B.Tech,2019,0
3,1,2,2,B.Tech,2019,0
3,0,2,2,B.Tech,2020,0
0,0,0,0,B.Tech,2018,0
2,0,2,2,B.Tech,2017,0
2,0,0,1,B.Tech,2021,0
2,0,2,1,B.Tech,2022,0
0,0,0,0,M.Tech,2021,0
2,0,2,2,B.Tech,2019,0
2,2,2,2,B.Tech,2019,0
1,0,0,0,-,2016,0
1,0,0,0,B.Tech,2020,0
2,2,2,3,-,2020,0
2,0,3,3,B.Tech,2009,0
0,0,0,0,M.Tech,2020,0
2,0,1,1,-,2021,0
0,0,0,0,B.Tech,2022,0
2,2,2,2,M.Tech,2016,0
2,2,2,2,B.Tech,2019,0
2,0,1,1,M.Tech,2018,0
2,2,2,3,M.Tech,2018,0
0,1,0,1,-,2021,0
2,0,2,1,B.Tech,2021,0
3,3,0,0,M.Tech,2019,0
3,0,3,2,B.Tech,2018,0
0,0,3,1,B.Tech,2019,0
0,0,0,0,B.Tech,2014,0
2,0,1,1,-,2009,0
2,0,2,2,B.Tech,2017,0
2,0,3,2,M.Tech,2019,0
3,0,2,1,B.Tech,2020,0
3,0,3,4,B.Tech,2016,0
2,0,2,2,-,2019,0
2,0,0,0,B.Tech,2021,0
2,2,0,0,M.Tech,2022,0
2,1,0,1,-,2012,0
2,2,0,0,-,2020,0
1,0,1,1,M.Tech,2015,0
2,0,2,1,-,2020,0
0,2,0,0,-,2017,0
1,2,0,0,-,2021,0
2,0,2,1,B.Tech,2016,0
2,0,0,1,B.Tech,2019,0
0,0,0,0,B.Tech,2017,0
2,0,2,2,B.Tech,2018,0
2,1,0,1,-,2021,0
0,2,2,1,-,2020,0
2,0,1,1,B.Tech,2019,0
2,0,3,1,-,2020,0
1,1,0,1,-,2015,0
2,0,2,3,B.Tech,2022,0
0,0,1,1,B.Tech,2017,0
2,2,2,1,-,2021,0
2,2,2,2,M.Tech,2019,0
3,2,3,3,B.Tech,2019,1
2,0,1,2,-,2014,0
1,0,0,1,B.Tech,2018,0
1,0,0,0,B.Tech,2019,0
2,0,0,1,B.Tech,2019,0
2,0,2,3,-,2017,0
2,0,2,4,-,2020,0
2,2,2,1,-,2020,0
2,0,2,3,B.Tech,2019,0
2,0,2,3,B.Tech,2019,0
1,1,2,1,-,2021,0
2,0,2,1,B.Tech,2021,0
0,0,0,0,B.Tech,2020,0
1,1,0,0,M.Tech,2019,0
2,0,1,3,-,2020,0
3,3,0,1,B.Tech,2019,0
2,0,0,2,B.Tech,2019,0
3,0,2,1,-,2020,0
2,0,2,1,B.Tech,2021,0
2,0,3,1,B.Tech,2015,0
2,0,2,3,B.Tech,2014,0
2,1,0,2,B.Tech,2018,0
2,2,2,3,-,2020,1
2,0,2,4,B.Tech,2018,0
2,0,2,1,-,2020,0
2,0,2,2,-,2021,0
2,0,2,3,-,2020,0
1,0,0,1,-,2016,0
2,0,2,1,B.Tech,2018,0
2,0,0,1,B.Tech,2018,0
2,2,2,2,B.Tech,2013,0
1,1,1,1,M.Tech,2017,0
0,0,0,0,-,2021,0
3,2,2,1,-,2020,0
2,0,2,2,-,2023,0
2,0,2,2,B.Tech,2021,0
1,2,0,1,-,2019,0
0,3,0,0,M.Tech,2017,0
2,0,2,2,-,2009,0
2,0,1,1,-,2018,0
2,0,0,0,-,2020,0
2,2,2,2,B.Tech,2013,0
3,0,3,1,-,2020,0
2,2,3,1,-,2020,0
1,0,0,0,-,2020,0
2,0,2,2,-,2015,0
3,0,3,3,B.Tech,2018,0
2,0,2,2,-,2020,0
0,0,0,1,-,2020,0
1,0,1,1,B.Tech,2018,0
2,2,2,3,-,2020,0
2,0,2,2,-,2020,0
2,0,1,3,B.Tech,2018,0
3,0,3,3,B.Tech,2018,0
2,2,0,1,B.Tech,2021,0
2,0,0,2,B.Tech,2020,0
1,0,1,1,B.Tech,2017,0
2,0,3,2,-,2019,0
1,0,1,1,B.Tech,2019,0
2,2,2,5,B.Tech,2019,1
2,0,2,1,M.Tech,2022,0
2,0,2,2,B.Tech,2013,0
1,1,0,2,-,2017,0
2,0,0,0,-,2011,0
3,0,2,4,B.Tech,2018,0
2,0,2,1,B.Tech,2021,0
0,0,3,3,B.Tech,2018,0
2,0,2,2,B.Tech,2019,0
2,0,2,4,B.Tech,2018,0
3,1,0,1,-,2019,0
2,2,2,1,-,2017,0
2,0,2,3,B.Tech,2019,0
2,3,0,1,-,2019,0
2,0,2,4,B.Tech,2016,0
2,0,2,2,-,2019,0
2,2,0,0,M.Tech,2018,0
0,2,1,2,M.Tech,2019,0
2,2,0,0,B.Tech,2018,0
2,0,2,2,-,2020,0
0,0,1,1,B.Tech,2014,0
1,0,0,0,-,2020,0
2,0,3,3,B.Tech,2019,0
2,0,2,1,-,2020,0
2,0,2,1,B.Tech,2019,0
0,0,0,0,-,2021,0
2,2,2,2,M.Tech,2020,0
2,2,3,4,B.Tech,2019,1
2,2,2,2,M.Tech,2019,0
2,0,2,1,B.Tech,2017,0
2,0,2,5,B.Tech,2019,0
3,3,0,0,-,2020,0
0,0,0,1,M.Tech,2017,0
2,0,1,1,M.Tech,2021,0
2,0,2,1,B.Tech,2019,0
2,0,1,1,B.Tech,2015,0
2,2,2,4,B.Tech,2020,1
2,3,2,3,M.Tech,2019,0
2,0,2,2,-,2020,0
1,0,1,3,-,2017,0
2,0,2,1,B.Tech,2019,0
3,1,3,2,-,2019,0
2,0,0,0,B.Tech,2019,0
2,2,2,1,B.Tech,2019,0
3,1,3,4,B.Tech,2019,1
2,0,0,0,B.Tech,2020,0
1,2,0,0,M.Tech,2020,0
2,2,0,0,-,2019,0
2,3,0,0,B.Tech,2019,0
2,0,2,4,B.Tech,2017,0
2,2,2,1,-,2020,0
3,2,2,3,B.Tech,2020,1
2,0,2,1,B.Tech,2017,0
2,2,2,2,B.Tech,2016,0
2,0,1,1,-,2018,0
2,0,1,1,B.Tech,2019,0
1,0,0,0,B.Tech,2019,0
2,1,0,0,B.Tech,2019,0
1,2,2,3,B.Tech,2019,0
0,0,0,0,B.Tech,2019,0
3,0,3,4,M.Tech,2017,0
2,0,2,4,M.Tech,2019,0
0,0,0,1,B.Tech,2017,0
2,0,2,2,B.Tech,2019,0
2,0,2,1,B.Tech,2019,0
2,2,0,0,B.Tech,2016,0
2,0,1,3,-,2010,0
2,1,1,4,B.Tech,2014,0
3,2,0,0,M.Tech,2021,0
2,0,2,1,B.Tech,2018,0
2,0,0,0,-,2020,0
2,0,2,1,B.Tech,2020,0
1,0,0,0,-,2020,0
2,0,0,0,B.Tech,2020,0
2,0,3,3,-,2020,0
2,2,0,1,-,2020,0
2,0,2,3,B.Tech,2006,0
2,2,1,4,-,2019,0
2,0,2,3,B.Tech,2017,0
1,0,0,0,B.Tech,2020,0
2,0,1,4,-,2019,0
1,0,1,1,-,2020,0
2,2,0,0,-,2018,0
2,0,2,4,-,2018,0
3,0,2,4,B.Tech,2016,0
2,1,1,2,B.Tech,2019,0
2,0,0,0,-,2020,0
1,1,1,3,-,2019,0
2,0,2,3,-,2020,0
2,0,2,2,M.Tech,2019,0
0,1,2,4,-,2020,0
2,0,2,3,B.Tech,2021,0
3,0,2,5,M.Tech,2018,0
2,0,1,1,B.Tech,2018,0
1,0,0,0,B.Tech,2019,0
3,3,3,4,M.Tech,2021,1
1,0,1,2,B.Tech,2019,0
2,2,2,3,B.Tech,2019,0
1,0,0,0,-,2019,0
1,2,0,1,B.Tech,2017,0
3,0,3,2,B.Tech,2017,0
1,0,1,1,B.Tech,2009,0
2,0,2,3,-,2019,0
2,0,0,0,B.Tech,2020,0
2,0,2,3,B.Tech,2018,0
2,0,2,3,-,2019,0
2,0,2,1,-,2021,0
2,0,2,2,M.Tech,2019,0
3,0,0,0,B.Tech,2021,0
2,0,2,4,B.Tech,2021,0
2,2,0,0,-,2020,0
2,0,2,1,M.Tech,2022,0
2,0,2,4,B.Tech,2014,0
2,2,2,3,-,2019,0
1,0,0,0,B.Tech,2017,0
2,0,2,3,B.Tech,2019,0
0,0,0,0,-,2019,0
1,0,0,1,B.Tech,2019,0
2,2,2,3,B.Tech,2019,0
2,0,2,1,B.Tech,2021,0
1,0,1,2,B.Tech,2017,0
2,0,0,0,B.Tech,2017,0
2,0,2,1,B.Tech,2022,0
2,2,0,0,-,2021,0
2,0,1,3,-,2018,0
2,0,2,2,B.Tech,2013,0
2,0,2,3,-,2019,0
2,0,2,2,M.Tech,2019,0
3,2,0,0,-,2020,0
0,1,1,1,B.Tech,2019,0
2,0,2,1,B.Tech,2015,0
0,0,0,0,-,2019,0
2,0,2,1,B.Tech,2021,0
1,0,0,1,B.Tech,2020,0
3,0,2,1,-,2021,0
2,0,2,5,B.Tech,2020,0
3,0,0,0,B.Tech,2022,0
2,3,2,2,B.Tech,2020,1
2,2,2,2,M.Tech,2015,0
3,0,0,2,-,2019,0
2,1,2,2,B.Tech,2018,0
3,0,3,2,B.Tech,2019,0
3,3,3,3,B.Tech,2019,1
1,0,1,1,-,2020,0
2,2,2,3,B.Tech,2013,0
3,0,0,1,M.Tech,2020,0
2,0,1,2,B.Tech,2018,0
2,0,0,0,-,2018,0
3,3,2,1,-,2018,0
2,0,1,1,-,2020,0
1,0,0,1,B.Tech,2019,0
1,2,0,0,M.Tech,2019,0
2,0,1,3,B.Tech,2019,0
2,0,0,0,M.Tech,2015,0
2,0,1,1,B.Tech,2022,0
2,0,2,4,B.Tech,2018,0
0,0,0,0,B.Tech,2016,0
2,0,1,4,B.Tech,2018,0
3,3,3,2,-,2019,1
3,0,0,0,B.Tech,2020,0
0,0,0,0,M.Tech,2020,0
2,0,0,0,-,2020,0
3,0,3,3,B.Tech,2013,0
2,0,0,0,B.Tech,2016,0
2,0,1,3,B.Tech,2018,0
2,1,1,4,-,2018,0
1,1,0,0,-,2017,0
2,0,1,5,-,2017,0
2,2,2,2,-,2020,0
2,0,2,4,B.Tech,2021,0
3,0,2,2,B.Tech,2014,0
2,2,1,1,-,2021,0
2,2,2,1,B.Tech,2020,0
2,2,2,3,B.Tech,2019,0
2,2,0,1,B.Tech,2021,0
2,0,0,1,B.Tech,2022,0
3,0,0,2,B.Tech,2017,0
2,2,1,2,M.Tech,2020,0
2,3,0,1,M.Tech,2020,0
2,0,0,3,-,2020,0
2,0,0,2,B.Tech,2017,0
2,0,0,1,-,2009,0
3,0,0,1,B.Tech,2017,0
1,0,0,0,B.Tech,2022,0
3,3,3,2,B.Tech,2018,1
1,0,0,1,B.Tech,2020,0
0,0,0,0,-,2019,0
2,0,0,1,-,2019,0
2,2,0,3,-,2019,0
2,0,0,1,M.Tech,2019,0
1,0,0,0,-,2019,0
0,0,0,1,B.Tech,2019,0
2,2,2,4,-,2019,1
1,0,1,3,B.Tech,2018,0
2,0,0,0,B.Tech,2019,0
1,1,0,1,-,2021,0
1,0,0,0,B.Tech,2017,0
2,0,0,3,B.Tech,2019,0
1,0,0,0,B.Tech,2019,0
2,0,2,4,-,2020,0
2,0,1,2,B.Tech,2013,0
1,2,0,3,B.Tech,2020,0
2,0,0,1,-,2020,0
1,2,0,2,M.Tech,2019,0
2,2,0,1,-,2007,0
2,0,1,3,B.Tech,2019,0
2,0,0,0,M.Tech,2019,0
2,2,0,2,B.Tech,2019,0
1,2,0,1,-,2019,0
2,2,0,1,M.Tech,2013,0
2,0,0,1,-,2019,0
2,2,2,3,-,2018,0
2,0,1,2,M.Tech,2019,0
3,0,0,2,B.Tech,2020,0
2,2,0,3,B.Tech,2019,0
1,0,0,1,B.Tech,2015,0
2,0,0,1,B.Tech,2022,0
1,0,0,0,B.Tech,2020,0
2,2,0,0,B.Tech,2015,0
1,0,2,3,B.Tech,2019,0
2,0,0,1,B.Tech,2015,0
2,2,0,3,B.Tech,2019,0
2,0,0,1,B.Tech,2004,0
2,0,0,1,B.Tech,2020,0
1,0,0,2,M.Tech,2018,0
3,0,0,1,M.Tech,2023,0
2,1,2,3,B.Tech,2018,0
2,0,0,0,M.Tech,2021,0
2,1,0,1,-,2019,0
3,0,0,1,B.Tech,2020,0
1,0,0,1,B.Tech,2021,0
2,0,2,4,B.Tech,2018,0
2,0,2,2,-,2016,0
2,1,0,0,B.Tech,2019,0
2,0,0,2,-,2020,0
2,0,1,4,-,2018,0
0,0,0,3,B.Tech,2021,0
2,0,2,2,-,2016,0
3,0,1,3,B.Tech,2021,0
1,0,0,3,B.Tech,2017,0
1,1,0,0,M.Tech,2019,0
2,2,2,3,B.Tech,2017,0
3,0,0,2,B.Tech,2019,0
2,0,0,1,B.Tech,2020,0
3,2,0,2,M.Tech,2018,0
3,2,2,4,B.Tech,2019,1
1,1,0,0,-,2017,0
1,0,0,0,-,2020,0
2,0,2,4,-,2019,0
2,0,2,3,-,2020,0
2,2,0,2,-,2020,0
1,1,0,2,B.Tech,2018,0
1,0,0,1,B.Tech,2019,0
2,0,0,2,B.Tech,2020,0
2,1,1,5,B.Tech,2018,0
3,2,0,0,-,2020,0
0,2,0,0,-,2017,0
2,0,0,1,B.Tech,2019,0
3,0,1,5,M.Tech,2018,0
2,0,2,2,B.Tech,2019,0
2,0,0,1,B.Tech,2018,0
2,0,0,1,-,2019,0
1,0,0,0,-,2020,0
3,1,0,1,-,2019,0
3,0,0,2,-,2020,0
2,0,2,4,-,2020,0
2,0,0,2,B.Tech,2018,0
3,0,2,3,B.Tech,2021,0
2,2,1,3,-,2020,0
2,2,0,2,B.Tech,2019,0
2,0,0,1,B.Tech,2016,0
2,0,0,3,-,2020,0
2,0,0,2,M.Tech,2019,0
1,0,0,1,B.Tech,2019,0
0,0,0,0,B.Tech,2015,0
2,0,0,2,-,2019,0
1,0,0,1,-,2017,0
1,1,0,0,M.Tech,2019,0
2,0,0,2,B.Tech,2022,0
2,0,2,2,B.Tech,2018,0
2,0,0,0,-,2020,0
2,0,0,0,-,2018,0
2,0,0,1,B.Tech,2016,0
2,0,2,2,M.Tech,2012,0
2,1,0,2,B.Tech,2016,0
2,2,2,5,B.Tech,2019,1
2,2,0,2,-,2020,0
2,0,0,1,B.Tech,2016,0
1,0,0,0,B.Tech,2016,0
3,0,2,4,B.Tech,2018,0
3,3,3,2,B.Tech,2019,1
0,0,0,1,B.Tech,2019,0
2,0,0,2,B.Tech,2019,0
2,0,2,2,B.Tech,2017,0
1,0,0,0,M.Tech,2019,0
2,0,0,0,B.Tech,2020,0
1,1,1,3,B.Tech,2019,0
1,0,0,1,B.Tech,2021,0
1,2,0,1,-,2021,0
2,2,1,5,B.Tech,2019,1
2,0,0,1,B.Tech,2022,0
3,0,2,2,B.Tech,2019,0
0,0,0,0,B.Tech,2019,0
2,0,2,2,B.Tech,2021,0
2,0,0,2,B.Tech,2013,0
2,0,0,1,B.Tech,2020,0
1,0,0,0,B.Tech,2020,0
2,0,0,3,-,2020,0
2,0,2,3,-,2019,0
1,0,0,0,B.Tech,2017,0
2,2,0,1,M.Tech,2019,0
2,2,2,3,B.Tech,2020,1
0,0,0,1,B.Tech,2020,0
3,0,0,1,B.Tech,2019,0
0,0,0,0,B.Tech,2017,0
3,1,0,2,-,2019,0
3,0,3,1,B.Tech,2021,0
1,0,0,1,B.Tech,2022,0
2,2,0,2,-,2019,0
2,2,0,1,B.Tech,2018,0
2,2,0,1,-,2019,0
2,0,0,1,B.Tech,2021,0
2,0,0,2,B.Tech,2020,0
2,2,0,3,B.Tech,2019,0
2,0,0,1,B.Tech,2013,0
2,0,0,1,B.Tech,2020,0
3,0,0,3,B.Tech,2018,0
1,2,0,2,M.Tech,2021,0
2,2,0,1,-,2017,0
2,0,0,0,M.Tech,2016,0
1,0,1,2,B.Tech,2016,0
1,0,0,0,B.Tech,2021,0
3,3,3,3,B.Tech,2019,1
2,0,0,1,B.Tech,2017,0
2,1,0,2,B.Tech,2019,0
1,0,0,1,B.Tech,2017,0
2,2,0,2,M.Tech,2021,0
3,2,0,1,-,2019,0
2,0,2,2,B.Tech,2021,0
2,0,0,1,-,2020,0
2,2,0,2,M.Tech,2016,0
2,0,0,1,M.Tech,2020,0
2,0,1,2,B.Tech,2020,0
2,0,2,2,B.Tech,2020,0
1,0,0,1,B.Tech,2015,0
2,2,0,1,M.Tech,2019,0
2,2,2,4,B.Tech,2019,1
2,0,0,1,B.Tech,2020,0
2,0,0,0,B.Tech,2020,0
3,1,2,2,B.Tech,2021,0
2,0,0,1,B.Tech,2020,0
2,2,0,2,B.Tech,2017,0
2,2,0,4,B.Tech,2017,0
2,2,0,3,B.Tech,2015,0
2,0,0,1,-,2019,0
2,0,0,1,M.Tech,2017,0
2,2,0,0,M.Tech,2018,0
1,2,0,1,-,2020,0
3,0,0,0,B.Tech,2019,0
3,2,0,1,B.Tech,2019,0
2,0,0,0,B.Tech,2020,0
2,0,0,1,B.Tech,2019,0
3,0,0,4,B.Tech,2018,0
2,0,0,0,-,2020,0
3,0,1,4,B.Tech,2016,0
2,0,0,0,B.Tech,2021,0
1,0,0,0,B.Tech,2019,0
2,2,0,0,M.Tech,2008,0
2,0,0,1,B.Tech,2016,0
1,0,0,1,-,2007,0
2,0,2,3,M.Tech,2015,0
2,0,0,0,B.Tech,2017,0
2,0,1,2,B.Tech,2019,0
2,2,1,3,-,2020,0
1,0,1,2,B.Tech,2019,0
2,0,2,3,B.Tech,2020,0
2,0,0,1,B.Tech,2021,0
2,0,0,2,-,2019,0
1,0,0,1,M.Tech,2017,0
0,1,0,0,-,2021,0
3,2,3,3,B.Tech,2019,1
2,0,0,3,B.Tech,2019,0
1,0,0,1,B.Tech,2020,0
2,2,0,2,B.Tech,2014,0
2,0,0,0,B.Tech,2019,0
2,0,1,2,-,2006,0
2,0,0,1,B.Tech,2021,0
2,0,0,2,M.Tech,2019,0
2,0,0,2,B.Tech,2018,0
2,0,0,1,B.Tech,2018,0
2,0,0,3,B.Tech,2017,0
2,2,0,0,-,2019,0
2,2,0,0,B.Tech,2019,0
2,3,0,1,-,2020,0
0,1,2,4,-,2020,0
2,0,2,3,B.Tech,2018,0
2,0,0,1,B.Tech,2018,0
1,0,0,0,-,2020,0
2,2,0,1,-,2020,0
2,0,2,4,B.Tech,2017,0
2,3,0,2,B.Tech,2019,0
3,0,0,2,-,2019,0
2,0,0,1,B.Tech,2004,0
2,0,2,3,B.Tech,2019,0
2,0,2,2,B.Tech,2019,0
1,0,0,1,M.Tech,2019,0
2,0,0,2,M.Tech,2019,0
1,2,0,1,B.Tech,2017,0
3,0,1,2,-,2019,0
2,0,0,2,B.Tech,2020,0
2,0,2,3,B.Tech,2018,0
2,0,0,1,B.Tech,2021,0
3,1,0,1,B.Tech,2019,0
1,0,0,1,B.Tech,2021,0
3,0,0,2,B.Tech,2014,0
2,0,2,2,B.Tech,2021,0
3,0,0,1,B.Tech,2019,0
0,0,0,0,B.Tech,2021,0
2,0,0,2,B.Tech,2014,0
2,0,0,1,M.Tech,2023,0
1,1,0,1,B.Tech,2016,0
2,0,1,2,M.Tech,2021,0
1,1,0,1,-,2019,0
1,1,0,2,M.Tech,2019,0
2,0,0,1,-,2018,0
0,0,0,0,B.Tech,2015,0
2,2,0,2,B.Tech,2013,0
3,3,0,2,-,2019,0
1,0,0,0,-,2021,0
0,0,0,1,B.Tech,2020,0
0,0,0,1,B.Tech,2014,0
2,2,3,4,B.Tech,2019,1
2,0,2,3,B.Tech,2019,0
2,2,2,3,M.Tech,2020,0
3,0,2,3,B.Tech,2013,0
2,2,2,2,M.Tech,2021,0
2,0,2,2,M.Tech,2019,0
2,0,1,4,B.Tech,2018,0
2,2,2,4,B.Tech,2019,1
0,2,0,1,M.Tech,2012,0
2,2,0,2,M.Tech,2019,0
1,0,0,2,M.Tech,2019,0
2,0,2,2,B.Tech,2021,0
3,0,0,1,M.Tech,2020,0
2,0,0,1,B.Tech,2021,0
2,1,2,2,B.Tech,2016,0
2,0,0,2,-,2020,0
2,0,2,4,B.Tech,2021,0
2,2,0,0,-,2020,0
0,0,0,0,B.Tech,2016,0
2,0,1,4,B.Tech,2017,0
2,0,0,3,B.Tech,2018,0
1,0,0,1,B.Tech,2012,0
3,0,2,2,B.Tech,2019,0
1,1,0,1,M.Tech,2017,0
2,0,0,3,B.Tech,2019,0
1,0,0,1,M.Tech,2023,0
2,0,1,4,B.Tech,2018,0
0,0,0,0,-,2020,0
3,2,1,3,B.Tech,2020,0
2,0,0,1,-,2019,0
2,0,2,2,B.Tech,2019,0
2,0,1,2,B.Tech,2022,0
1,0,0,1,B.Tech,2021,0
2,0,0,0,B.Tech,2021,0
2,0,0,1,-,2020,0
0,0,0,0,-,2020,0
0,0,0,0,B.Tech,2020,0
2,0,0,2,-,2020,0
2,0,0,2,M.Tech,2016,0
2,0,2,3,B.Tech,2017,0
2,2,2,4,B.Tech,2020,1
1,0,0,1,-,2020,0
2,2,0,4,B.Tech,2016,0
3,2,2,4,-,2018,1
2,2,0,3,M.Tech,2016,0
